evaluator,PB01,PB02,PB03,PB04,PB05,PB06,PB07,PB08,PB09,PB10,PB11,PB12,PB13,PB14,PB15,PB17,PB18,PB19,PB20,PB21,PB22,PB23,PB24,PB25,PB26,PB27,PB28,total_by_evaluator
ED1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,5
ED2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,11
ED3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,4
ED4,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,7
EU1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
EU2,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,10
total_by_problem,1,3,1,1,1,1,2,2,2,5,1,2,1,4,2,2,3,4,1,1,1,1,1,1,2,1,1,48
